ts,side,usd_notional,cascade
2026-05-07 08:42:04.722,sell,27800.05,0
2026-05-07 08:42:16.602,sell,59474.17,0
2026-05-07 08:47:05.347,sell,2504,0
2026-05-07 09:00:30.793,sell,1857.28,0
2026-05-07 09:00:31.191,sell,4441.33,0
2026-05-07 09:00:41.342,sell,161.48,0
2026-05-07 09:00:44.223,sell,2583.15,0
2026-05-07 09:02:44.697,sell,403.5,0
2026-05-07 09:02:44.833,sell,9846.02,0
2026-05-07 09:02:45.072,sell,2501.83,0
2026-05-07 09:02:45.444,sell,887.83,0
2026-05-07 09:03:21.534,sell,80.69,0
2026-05-07 09:03:22.011,sell,726.17,0
2026-05-07 09:03:22.233,sell,1210.25,0
2026-05-07 09:03:42.628,sell,564.7,0
2026-05-07 09:17:25.729,sell,807.56,0
2026-05-07 09:21:21.590,sell,5483.42,0
2026-05-07 09:21:21.635,sell,80.65,0
2026-05-07 09:21:24.569,sell,806.29,0
2026-05-07 09:21:24.990,sell,80.63,0
2026-05-07 09:21:25.042,sell,80.64,0
2026-05-07 09:27:41.597,sell,322.42,0
2026-05-07 09:27:45.895,sell,80.58,0
2026-05-07 09:27:46.155,sell,3384.61,0
2026-05-07 09:27:59.982,sell,1933.8,0
2026-05-07 09:28:03.662,sell,161.12,0
2026-05-07 09:28:06.121,sell,1288.98,0
2026-05-07 09:28:06.265,sell,5317.03,0
2026-05-07 09:38:03.174,sell,241.61,0
2026-05-07 09:38:11.050,sell,80.51,0
2026-05-07 09:38:13.156,sell,5394.22,0
2026-05-07 09:38:41.267,sell,80.5,0
2026-05-07 09:38:41.478,sell,1448.9,0
2026-05-07 09:40:03.760,sell,321.93,0
2026-05-07 09:40:05.654,sell,80480.2,0
2026-05-07 09:40:06.362,sell,5150.29,0
2026-05-07 09:42:05.508,buy,976.17,0
2026-05-07 09:42:48.780,sell,1367.98,0
2026-05-07 09:42:49.081,sell,643.74,0
2026-05-07 09:42:49.170,sell,1528.91,0
2026-05-07 09:42:50.299,sell,321.82,0
2026-05-07 09:42:51.681,sell,1769.79,0
2026-05-07 09:42:52.026,sell,27593.25,0
2026-05-07 09:42:52.400,sell,804.49,0
2026-05-07 09:43:19.391,sell,241.32,0
2026-05-07 09:43:19.628,sell,10214.31,0
2026-05-07 09:43:19.675,sell,1206.45,0
2026-05-07 09:43:19.881,sell,7882.46,0
2026-05-07 09:43:20.203,sell,723.91,0
2026-05-07 09:43:22.109,sell,241.26,0
2026-05-07 10:12:35.278,sell,723.7,0
2026-05-07 10:12:35.683,sell,6432.56,0
2026-05-07 10:12:38.437,sell,1286.19,0
2026-05-07 10:12:39.769,sell,401.87,0
2026-05-07 10:12:39.830,sell,80.38,0
2026-05-07 10:12:39.901,sell,6430.73,0
2026-05-07 10:24:56.077,sell,2491.36,0
2026-05-07 10:25:01.746,sell,321.39,0
2026-05-07 10:25:01.785,sell,1124.96,0
2026-05-07 10:25:01.828,sell,1124.98,0
2026-05-07 10:25:02.412,sell,13015.5,0
2026-05-07 10:25:03.019,sell,2410.07,0
2026-05-07 10:27:35.179,sell,883.42,0
2026-05-07 10:27:49.600,sell,722.78,0
2026-05-07 10:27:49.961,sell,80.31,0
2026-05-07 10:27:50.285,sell,642.44,0
2026-05-07 10:27:50.392,sell,80.3,0
2026-05-07 10:27:50.718,sell,240.89,0
2026-05-07 10:27:51.946,sell,240.87,0
2026-05-07 10:27:52.107,sell,12685.52,0
2026-05-07 10:27:52.555,sell,80.28,0
2026-05-07 10:27:53.124,sell,160.55,0
2026-05-07 10:27:53.162,sell,240.84,0
2026-05-07 10:28:21.541,sell,80.24,0
2026-05-07 10:28:21.572,sell,160.52,0
2026-05-07 10:28:21.597,sell,962.94,0
2026-05-07 10:28:21.688,sell,401.29,0
2026-05-07 10:28:21.817,sell,882.92,0
2026-05-07 10:28:21.914,sell,401.17,0
2026-05-07 10:28:22.087,sell,35227.73,0
2026-05-07 10:28:22.162,sell,16532.65,0
2026-05-07 10:28:22.208,sell,5857.83,0
2026-05-07 10:28:22.383,sell,225768.63,0
2026-05-07 10:28:22.400,sell,882.73,0
2026-05-07 10:28:22.474,sell,1685.29,0
2026-05-07 10:28:22.499,sell,160.54,0
2026-05-07 10:28:22.529,sell,80.22,0
2026-05-07 10:28:22.530,sell,401.25,0
2026-05-07 10:28:22.533,sell,641.85,0
2026-05-07 10:28:22.562,sell,3208.06,0
2026-05-07 10:28:22.680,sell,2325.76,0
2026-05-07 10:28:22.691,sell,401.07,0
2026-05-07 10:28:22.699,sell,41547.28,0
2026-05-07 10:28:22.713,sell,3608.97,0
2026-05-07 10:28:22.784,sell,3368.35,0
2026-05-07 10:28:22.892,sell,1684.16,0
2026-05-07 10:28:22.934,sell,802.11,0
2026-05-07 10:28:22.986,sell,240.64,0
2026-05-07 10:28:23.046,sell,722.05,0
2026-05-07 10:28:23.158,sell,3369.43,0
2026-05-07 10:28:23.188,sell,160.4,0
2026-05-07 10:28:23.247,sell,962.64,0
2026-05-07 10:28:29.742,sell,80.19,0
2026-05-07 10:28:29.794,sell,6655.79,0
2026-05-07 10:28:30.008,sell,240.58,0
2026-05-07 10:28:30.032,sell,5773.74,0
2026-05-07 10:28:30.046,sell,9863.37,0
2026-05-07 10:28:30.073,sell,160.39,0
2026-05-07 10:28:30.134,sell,80.19,0
2026-05-07 10:28:30.290,sell,481.17,0
2026-05-07 10:28:34.720,sell,80.18,0
2026-05-07 10:28:43.023,sell,4008.89,0
2026-05-07 10:28:43.202,sell,9621.61,0
2026-05-07 10:28:46.610,sell,3046.54,0
2026-05-07 10:28:46.711,sell,881.86,0
2026-05-07 10:28:47.026,sell,2324.89,0
