ts,oi
2023-11-24 00:00:00,3056297550
2023-11-25 00:00:00,3017886011
2023-11-26 00:00:00,3005125388
2023-11-27 00:00:00,2962339728
2023-11-28 00:00:00,2951544275
2023-11-29 00:00:00,3066908935
2023-11-30 00:00:00,3127341926
2023-12-01 00:00:00,3114737872
2023-12-02 00:00:00,3442585227
2023-12-03 00:00:00,3221314980
2023-12-04 00:00:00,3198420817
2023-12-05 00:00:00,3493651854
2023-12-06 00:00:00,3640786035
2023-12-07 00:00:00,3732881551
2023-12-08 00:00:00,3613105017
2023-12-09 00:00:00,3629778411
2023-12-10 00:00:00,3534476105
2023-12-11 00:00:00,3642374781
2023-12-12 00:00:00,3117171887
2023-12-13 00:00:00,3211212348
2023-12-14 00:00:00,3370714866
2023-12-15 00:00:00,3285545158
2023-12-16 00:00:00,3181498967
2023-12-17 00:00:00,3185589607
2023-12-18 00:00:00,3160323678
2023-12-19 00:00:00,3223999904
2023-12-20 00:00:00,3245933237
2023-12-21 00:00:00,3484161679
2023-12-22 00:00:00,3535097061
2023-12-23 00:00:00,3401948959
2023-12-24 00:00:00,3438238068
2023-12-25 00:00:00,3319672757
2023-12-26 00:00:00,3381347807
2023-12-27 00:00:00,3386284144
2023-12-28 00:00:00,3306163903
2023-12-29 00:00:00,3220576024
2023-12-30 00:00:00,3187439043
2023-12-31 00:00:00,3182416716
2024-01-01 00:00:00,3130509217
2024-01-02 00:00:00,3388089802
2024-01-03 00:00:00,3588576729
2024-01-04 00:00:00,2943064962
2024-01-05 00:00:00,3148144001
